LMP8760,gas8760
14.3038,3.062
11.548,3.062
7.3344,3.062
-8.1553,3.062
-9.7075,3.062
-15.3506,3.062
-12.1866,3.062
-5.145,3.062
-10.5155,3.062
-7.6048,3.062
-6.0661,3.062
-3.8533,3.062
-1.6127,3.062
-1.4963,3.062
-3.6324,3.062
3.1161,3.062
7.5051,3.062
3.5211,3.062
2.3967,3.062
3.2827,3.062
3.4801,3.062
4.7278,3.062
10.8741,3.062
13.5518,3.062
14.7097,3.062
18.3515,3.062
17.2234,3.062
16.1519,3.062
15.9437,3.062
14.9224,3.062
16.6056,3.062
16.9716,3.062
18.9802,3.062
17.0821,3.062
18.3777,3.062
17.0413,3.062
18.5136,3.062
14.9913,3.062
12.1898,3.062
16.4794,3.062
34.7377,3.062
17.8925,3.062
14.6992,3.062
13.4611,3.062
12.3002,3.062
12.1341,3.062
14.1867,3.062
13.6108,3.062
13.0958,3.062
13.0141,3.062
12.7513,3.062
13.1611,3.062
13.0704,3.062
8.8739,3.062
11.6818,3.062
10.918,3.062
10.7339,3.062
9.1198,3.062
9.5821,3.062
12.9988,3.062
12.8527,3.062
12.9235,3.062
12.4196,3.062
13.3061,3.062
11.8924,3.062
9.6697,3.062
12.9155,3.062
12.9239,3.062
12.3958,3.062
12.0376,3.062
13.5719,3.062
16.5915,3.062
16.1282,3.062
15.6055,3.062
14.5597,3.062
14.0468,3.062
13.0703,3.062
12.9635,3.062
12.5367,3.062
13.1616,3.062
14.1396,3.062
14.7789,3.062
14.6473,3.062
15.6126,3.062
16.7275,3.062
17.033,3.062
16.4995,3.062
16.3342,3.062
15.9527,3.062
15.5743,3.062
15.2416,3.062
14.1685,3.062
13.7568,3.062
12.8555,3.062
11.8072,3.062
5.9164,3.062
0.5814,3.062
-8.1643,3.062
-15.2796,3.062
-15.5058,3.062
-15.3768,3.062
-19.8832,3.062
-11.2463,3.062
-9.8201,3.062
-10.1251,3.062
4.1031,3.062
9.6699,3.062
2.6284,3.062
5.3453,3.062
-6.8789,3.062
-24.615,3.062
-22.1119,3.062
-25.019,3.062
-20.0286,3.062
2.717,3.062
10.7278,3.062
12.9077,3.062
18.0774,3.062
19.3317,3.062
20.1199,3.062
19.536,3.062
17.2367,3.062
19.3477,3.062
18.1833,3.062
13.8452,3.062
13.2208,3.062
11.5838,3.062
11.2128,3.062
11.5087,3.062
13.0526,3.062
13.6444,3.062
16.171,3.062
