year,time,zone,location,existingresource,nameplateMWh,solarMWh,windMWh,batteriesMWh,natgasMWh,LMP8760,gas8760
2021,1,WCO,Carousel,wind,150,0,78.975,,,14.3038,3.062
2021,2,WCO,Carousel,wind,150,0,78.975,,,11.548,3.062
2021,3,WCO,Carousel,wind,150,0,78.975,,,7.3344,3.062
2021,4,WCO,Carousel,wind,150,0,78.975,,,-8.1553,3.062
2021,5,WCO,Carousel,wind,150,0,78.975,,,-9.7075,3.062
2021,6,WCO,Carousel,wind,150,0,78.975,,,-15.3506,3.062
2021,7,WCO,Carousel,wind,150,0,96.525,,,-12.1866,3.062
2021,8,WCO,Carousel,wind,150,26.25,96.525,,,-5.145,3.062
2021,9,WCO,Carousel,wind,150,31.5,96.525,,,-10.5155,3.062
2021,10,WCO,Carousel,wind,150,42,96.525,,,-7.6048,3.062
2021,11,WCO,Carousel,wind,150,47.25,96.525,,,-6.0661,3.062
2021,12,WCO,Carousel,wind,150,52.5,96.525,,,-3.8533,3.062
2021,13,WCO,Carousel,wind,150,47.67,122.85,,,-1.6127,3.062
2021,14,WCO,Carousel,wind,150,52.5,122.85,,,-1.4963,3.062
2021,15,WCO,Carousel,wind,150,47.25,122.85,,,-3.6324,3.062
2021,16,WCO,Carousel,wind,150,42,122.85,,,3.1161,3.062
2021,17,WCO,Carousel,wind,150,31.5,122.85,,,7.5051,3.062
2021,18,WCO,Carousel,wind,150,31.5,122.85,,,3.5211,3.062
2021,19,WCO,Carousel,wind,150,26.25,52.65,,,2.3967,3.062
2021,20,WCO,Carousel,wind,150,26.25,52.65,,,3.2827,3.062
2021,21,WCO,Carousel,wind,150,0,52.65,,,3.4801,3.062
2021,22,WCO,Carousel,wind,150,0,52.65,,,4.7278,3.062
2021,23,WCO,Carousel,wind,150,0,52.65,,,10.8741,3.062
2021,24,WCO,Carousel,wind,150,0,52.65,,,13.5518,3.062
2021,25,WCO,Carousel,wind,150,0,78.975,,,14.7097,3.062
2021,26,WCO,Carousel,wind,150,0,78.975,,,18.3515,3.062
2021,27,WCO,Carousel,wind,150,0,78.975,,,17.2234,3.062
2021,28,WCO,Carousel,wind,150,0,78.975,,,16.1519,3.062
2021,29,WCO,Carousel,wind,150,0,78.975,,,15.9437,3.062
2021,30,WCO,Carousel,wind,150,0,78.975,,,14.9224,3.062
2021,31,WCO,Carousel,wind,150,0,96.525,,,16.6056,3.062
2021,32,WCO,Carousel,wind,150,26.25,96.525,,,16.9716,3.062
2021,33,WCO,Carousel,wind,150,31.5,96.525,,,18.9802,3.062
2021,34,WCO,Carousel,wind,150,42,96.525,,,17.0821,3.062
2021,35,WCO,Carousel,wind,150,47.25,96.525,,,18.3777,3.062
2021,36,WCO,Carousel,wind,150,52.5,96.525,,,17.0413,3.062
2021,37,WCO,Carousel,wind,150,47.67,122.85,,,18.5136,3.062
2021,38,WCO,Carousel,wind,150,52.5,122.85,,,14.9913,3.062
2021,39,WCO,Carousel,wind,150,47.25,122.85,,,12.1898,3.062
2021,40,WCO,Carousel,wind,150,42,122.85,,,16.4794,3.062
2021,41,WCO,Carousel,wind,150,31.5,122.85,,,34.7377,3.062
2021,42,WCO,Carousel,wind,150,31.5,122.85,,,17.8925,3.062
2021,43,WCO,Carousel,wind,150,26.25,52.65,,,14.6992,3.062
2021,44,WCO,Carousel,wind,150,26.25,52.65,,,13.4611,3.062
2021,45,WCO,Carousel,wind,150,0,52.65,,,12.3002,3.062
2021,46,WCO,Carousel,wind,150,0,52.65,,,12.1341,3.062
2021,47,WCO,Carousel,wind,150,0,52.65,,,14.1867,3.062
2021,48,WCO,Carousel,wind,150,0,52.65,,,13.6108,3.062
2021,49,WCO,Carousel,wind,150,0,78.975,,,13.0958,3.062
2021,50,WCO,Carousel,wind,150,0,78.975,,,13.0141,3.062
2021,51,WCO,Carousel,wind,150,0,78.975,,,12.7513,3.062
2021,52,WCO,Carousel,wind,150,0,78.975,,,13.1611,3.062
2021,53,WCO,Carousel,wind,150,0,78.975,,,13.0704,3.062
2021,54,WCO,Carousel,wind,150,0,78.975,,,8.8739,3.062
2021,55,WCO,Carousel,wind,150,0,96.525,,,11.6818,3.062
2021,56,WCO,Carousel,wind,150,26.25,96.525,,,10.918,3.062
2021,57,WCO,Carousel,wind,150,31.5,96.525,,,10.7339,3.062
2021,58,WCO,Carousel,wind,150,42,96.525,,,9.1198,3.062
2021,59,WCO,Carousel,wind,150,47.25,96.525,,,9.5821,3.062
2021,60,WCO,Carousel,wind,150,52.5,96.525,,,12.9988,3.062
2021,61,WCO,Carousel,wind,150,47.67,122.85,,,12.8527,3.062
2021,62,WCO,Carousel,wind,150,52.5,122.85,,,12.9235,3.062
2021,63,WCO,Carousel,wind,150,47.25,122.85,,,12.4196,3.062
2021,64,WCO,Carousel,wind,150,42,122.85,,,13.3061,3.062
2021,65,WCO,Carousel,wind,150,31.5,122.85,,,11.8924,3.062
2021,66,WCO,Carousel,wind,150,31.5,122.85,,,9.6697,3.062
2021,67,WCO,Carousel,wind,150,26.25,52.65,,,12.9155,3.062
2021,68,WCO,Carousel,wind,150,26.25,52.65,,,12.9239,3.062
2021,69,WCO,Carousel,wind,150,0,52.65,,,12.3958,3.062
2021,70,WCO,Carousel,wind,150,0,52.65,,,12.0376,3.062
2021,71,WCO,Carousel,wind,150,0,52.65,,,13.5719,3.062
2021,72,WCO,Carousel,wind,150,0,52.65,,,16.5915,3.062
2021,73,WCO,Carousel,wind,150,0,78.975,,,16.1282,3.062
2021,74,WCO,Carousel,wind,150,0,78.975,,,15.6055,3.062
2021,75,WCO,Carousel,wind,150,0,78.975,,,14.5597,3.062
2021,76,WCO,Carousel,wind,150,0,78.975,,,14.0468,3.062
2021,77,WCO,Carousel,wind,150,0,78.975,,,13.0703,3.062
2021,78,WCO,Carousel,wind,150,0,78.975,,,12.9635,3.062
2021,79,WCO,Carousel,wind,150,0,96.525,,,12.5367,3.062
2021,80,WCO,Carousel,wind,150,26.25,96.525,,,13.1616,3.062
2021,81,WCO,Carousel,wind,150,31.5,96.525,,,14.1396,3.062
2021,82,WCO,Carousel,wind,150,42,96.525,,,14.7789,3.062
2021,83,WCO,Carousel,wind,150,47.25,96.525,,,14.6473,3.062
2021,84,WCO,Carousel,wind,150,52.5,96.525,,,15.6126,3.062
2021,85,WCO,Carousel,wind,150,47.67,122.85,,,16.7275,3.062
2021,86,WCO,Carousel,wind,150,52.5,122.85,,,17.033,3.062
2021,87,WCO,Carousel,wind,150,47.25,122.85,,,16.4995,3.062
2021,88,WCO,Carousel,wind,150,42,122.85,,,16.3342,3.062
2021,89,WCO,Carousel,wind,150,31.5,122.85,,,15.9527,3.062
2021,90,WCO,Carousel,wind,150,31.5,122.85,,,15.5743,3.062
2021,91,WCO,Carousel,wind,150,26.25,52.65,,,15.2416,3.062
2021,92,WCO,Carousel,wind,150,26.25,52.65,,,14.1685,3.062
2021,93,WCO,Carousel,wind,150,0,52.65,,,13.7568,3.062
2021,94,WCO,Carousel,wind,150,0,52.65,,,12.8555,3.062
2021,95,WCO,Carousel,wind,150,0,52.65,,,11.8072,3.062
2021,96,WCO,Carousel,wind,150,0,52.65,,,5.9164,3.062
2021,97,WCO,Carousel,wind,150,0,78.975,,,0.5814,3.062
2021,98,WCO,Carousel,wind,150,0,78.975,,,-8.1643,3.062
2021,99,WCO,Carousel,wind,150,0,78.975,,,-15.2796,3.062
2021,100,WCO,Carousel,wind,150,0,78.975,,,-15.5058,3.062
2021,101,WCO,Carousel,wind,150,0,78.975,,,-15.3768,3.062
2021,102,WCO,Carousel,wind,150,0,78.975,,,-19.8832,3.062
2021,103,WCO,Carousel,wind,150,0,96.525,,,-11.2463,3.062
2021,104,WCO,Carousel,wind,150,26.25,96.525,,,-9.8201,3.062
2021,105,WCO,Carousel,wind,150,31.5,96.525,,,-10.1251,3.062
2021,106,WCO,Carousel,wind,150,42,96.525,,,4.1031,3.062
2021,107,WCO,Carousel,wind,150,47.25,96.525,,,9.6699,3.062
2021,108,WCO,Carousel,wind,150,52.5,96.525,,,2.6284,3.062
2021,109,WCO,Carousel,wind,150,47.67,122.85,,,5.3453,3.062
2021,110,WCO,Carousel,wind,150,52.5,122.85,,,-6.8789,3.062
2021,111,WCO,Carousel,wind,150,47.25,122.85,,,-24.615,3.062
2021,112,WCO,Carousel,wind,150,42,122.85,,,-22.1119,3.062
2021,113,WCO,Carousel,wind,150,31.5,122.85,,,-25.019,3.062
2021,114,WCO,Carousel,wind,150,31.5,122.85,,,-20.0286,3.062
2021,115,WCO,Carousel,wind,150,26.25,52.65,,,2.717,3.062
2021,116,WCO,Carousel,wind,150,26.25,52.65,,,10.7278,3.062
2021,117,WCO,Carousel,wind,150,0,52.65,,,12.9077,3.062
2021,118,WCO,Carousel,wind,150,0,52.65,,,18.0774,3.062
2021,119,WCO,Carousel,wind,150,0,52.65,,,19.3317,3.062
2021,120,WCO,Carousel,wind,150,0,52.65,,,20.1199,3.062
2021,121,WCO,Carousel,wind,150,0,78.975,,,19.536,3.062
2021,122,WCO,Carousel,wind,150,0,78.975,,,17.2367,3.062
2021,123,WCO,Carousel,wind,150,0,78.975,,,19.3477,3.062
2021,124,WCO,Carousel,wind,150,0,78.975,,,18.1833,3.062
2021,125,WCO,Carousel,wind,150,0,78.975,,,13.8452,3.062
2021,126,WCO,Carousel,wind,150,0,78.975,,,13.2208,3.062
2021,127,WCO,Carousel,wind,150,0,96.525,,,11.5838,3.062
2021,128,WCO,Carousel,wind,150,26.25,96.525,,,11.2128,3.062
2021,129,WCO,Carousel,wind,150,31.5,96.525,,,11.5087,3.062
2021,130,WCO,Carousel,wind,150,42,96.525,,,13.0526,3.062
2021,131,WCO,Carousel,wind,150,47.25,96.525,,,13.6444,3.062
2021,132,WCO,Carousel,wind,150,52.5,96.525,,,16.171,3.062
2021,133,WCO,Carousel,wind,150,47.67,122.85,,,19.3503,3.062
