year,time,zone,location,existingresource,nameplateMWh,solarMWh,windMWh,batteriesMWh,natgasMWh, 
2021,1,WCO,san_isabel,solar,30,0,40.5,,,
2021,2,WCO,san_isabel,solar,30,0,40.5,,,
2021,3,WCO,san_isabel,solar,30,0,40.5,,,
2021,4,WCO,san_isabel,solar,30,0,40.5,,,
2021,5,WCO,san_isabel,solar,30,0,40.5,,,
2021,6,WCO,san_isabel,solar,30,0,40.5,,,
2021,7,WCO,san_isabel,solar,30,0,49.5,,,
2021,8,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,9,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,10,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,11,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,12,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,13,WCO,san_isabel,solar,30,14.301,63,,,
2021,14,WCO,san_isabel,solar,30,15.75,63,,,
2021,15,WCO,san_isabel,solar,30,14.175,63,,,
2021,16,WCO,san_isabel,solar,30,12.6,63,,,
2021,17,WCO,san_isabel,solar,30,9.45,63,,,
2021,18,WCO,san_isabel,solar,30,9.45,63,,,
2021,19,WCO,san_isabel,solar,30,7.875,27,,,
2021,20,WCO,san_isabel,solar,30,7.875,27,,,
2021,21,WCO,san_isabel,solar,30,0,27,,,
2021,22,WCO,san_isabel,solar,30,0,27,,,
2021,23,WCO,san_isabel,solar,30,0,27,,,
2021,24,WCO,san_isabel,solar,30,0,27,,,
2021,25,WCO,san_isabel,solar,30,0,40.5,,,
2021,26,WCO,san_isabel,solar,30,0,40.5,,,
2021,27,WCO,san_isabel,solar,30,0,40.5,,,
2021,28,WCO,san_isabel,solar,30,0,40.5,,,
2021,29,WCO,san_isabel,solar,30,0,40.5,,,
2021,30,WCO,san_isabel,solar,30,0,40.5,,,
2021,31,WCO,san_isabel,solar,30,0,49.5,,,
2021,32,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,33,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,34,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,35,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,36,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,37,WCO,san_isabel,solar,30,14.301,63,,,
2021,38,WCO,san_isabel,solar,30,15.75,63,,,
2021,39,WCO,san_isabel,solar,30,14.175,63,,,
2021,40,WCO,san_isabel,solar,30,12.6,63,,,
2021,41,WCO,san_isabel,solar,30,9.45,63,,,
2021,42,WCO,san_isabel,solar,30,9.45,63,,,
2021,43,WCO,san_isabel,solar,30,7.875,27,,,
2021,44,WCO,san_isabel,solar,30,7.875,27,,,
2021,45,WCO,san_isabel,solar,30,0,27,,,
2021,46,WCO,san_isabel,solar,30,0,27,,,
2021,47,WCO,san_isabel,solar,30,0,27,,,
2021,48,WCO,san_isabel,solar,30,0,27,,,
2021,49,WCO,san_isabel,solar,30,0,40.5,,,
2021,50,WCO,san_isabel,solar,30,0,40.5,,,
2021,51,WCO,san_isabel,solar,30,0,40.5,,,
2021,52,WCO,san_isabel,solar,30,0,40.5,,,
2021,53,WCO,san_isabel,solar,30,0,40.5,,,
2021,54,WCO,san_isabel,solar,30,0,40.5,,,
2021,55,WCO,san_isabel,solar,30,0,49.5,,,
2021,56,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,57,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,58,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,59,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,60,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,61,WCO,san_isabel,solar,30,14.301,63,,,
2021,62,WCO,san_isabel,solar,30,15.75,63,,,
2021,63,WCO,san_isabel,solar,30,14.175,63,,,
2021,64,WCO,san_isabel,solar,30,12.6,63,,,
2021,65,WCO,san_isabel,solar,30,9.45,63,,,
2021,66,WCO,san_isabel,solar,30,9.45,63,,,
2021,67,WCO,san_isabel,solar,30,7.875,27,,,
2021,68,WCO,san_isabel,solar,30,7.875,27,,,
2021,69,WCO,san_isabel,solar,30,0,27,,,
2021,70,WCO,san_isabel,solar,30,0,27,,,
2021,71,WCO,san_isabel,solar,30,0,27,,,
2021,72,WCO,san_isabel,solar,30,0,27,,,
2021,73,WCO,san_isabel,solar,30,0,40.5,,,
2021,74,WCO,san_isabel,solar,30,0,40.5,,,
2021,75,WCO,san_isabel,solar,30,0,40.5,,,
2021,76,WCO,san_isabel,solar,30,0,40.5,,,
2021,77,WCO,san_isabel,solar,30,0,40.5,,,
2021,78,WCO,san_isabel,solar,30,0,40.5,,,
2021,79,WCO,san_isabel,solar,30,0,49.5,,,
2021,80,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,81,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,82,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,83,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,84,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,85,WCO,san_isabel,solar,30,14.301,63,,,
2021,86,WCO,san_isabel,solar,30,15.75,63,,,
2021,87,WCO,san_isabel,solar,30,14.175,63,,,
2021,88,WCO,san_isabel,solar,30,12.6,63,,,
2021,89,WCO,san_isabel,solar,30,9.45,63,,,
2021,90,WCO,san_isabel,solar,30,9.45,63,,,
2021,91,WCO,san_isabel,solar,30,7.875,27,,,
2021,92,WCO,san_isabel,solar,30,7.875,27,,,
2021,93,WCO,san_isabel,solar,30,0,27,,,
2021,94,WCO,san_isabel,solar,30,0,27,,,
2021,95,WCO,san_isabel,solar,30,0,27,,,
2021,96,WCO,san_isabel,solar,30,0,27,,,
2021,97,WCO,san_isabel,solar,30,0,40.5,,,
2021,98,WCO,san_isabel,solar,30,0,40.5,,,
2021,99,WCO,san_isabel,solar,30,0,40.5,,,
2021,100,WCO,san_isabel,solar,30,0,40.5,,,
2021,101,WCO,san_isabel,solar,30,0,40.5,,,
2021,102,WCO,san_isabel,solar,30,0,40.5,,,
2021,103,WCO,san_isabel,solar,30,0,49.5,,,
2021,104,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,105,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,106,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,107,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,108,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,109,WCO,san_isabel,solar,30,14.301,63,,,
2021,110,WCO,san_isabel,solar,30,15.75,63,,,
2021,111,WCO,san_isabel,solar,30,14.175,63,,,
2021,112,WCO,san_isabel,solar,30,12.6,63,,,
2021,113,WCO,san_isabel,solar,30,9.45,63,,,
2021,114,WCO,san_isabel,solar,30,9.45,63,,,
2021,115,WCO,san_isabel,solar,30,7.875,27,,,
2021,116,WCO,san_isabel,solar,30,7.875,27,,,
2021,117,WCO,san_isabel,solar,30,0,27,,,
2021,118,WCO,san_isabel,solar,30,0,27,,,
2021,119,WCO,san_isabel,solar,30,0,27,,,
2021,120,WCO,san_isabel,solar,30,0,27,,,
2021,121,WCO,san_isabel,solar,30,0,40.5,,,
2021,122,WCO,san_isabel,solar,30,0,40.5,,,
2021,123,WCO,san_isabel,solar,30,0,40.5,,,
2021,124,WCO,san_isabel,solar,30,0,40.5,,,
2021,125,WCO,san_isabel,solar,30,0,40.5,,,
2021,126,WCO,san_isabel,solar,30,0,40.5,,,
2021,127,WCO,san_isabel,solar,30,0,49.5,,,
2021,128,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,129,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,130,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,131,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,132,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,133,WCO,san_isabel,solar,30,14.301,63,,,
2021,134,WCO,san_isabel,solar,30,15.75,63,,,
2021,135,WCO,san_isabel,solar,30,14.175,63,,,
2021,136,WCO,san_isabel,solar,30,12.6,63,,,
2021,137,WCO,san_isabel,solar,30,9.45,63,,,
2021,138,WCO,san_isabel,solar,30,9.45,63,,,
2021,139,WCO,san_isabel,solar,30,7.875,27,,,
2021,140,WCO,san_isabel,solar,30,7.875,27,,,
2021,141,WCO,san_isabel,solar,30,0,27,,,
2021,142,WCO,san_isabel,solar,30,0,27,,,
2021,143,WCO,san_isabel,solar,30,0,27,,,
2021,144,WCO,san_isabel,solar,30,0,27,,,
2021,145,WCO,san_isabel,solar,30,0,40.5,,,
2021,146,WCO,san_isabel,solar,30,0,40.5,,,
2021,147,WCO,san_isabel,solar,30,0,40.5,,,
2021,148,WCO,san_isabel,solar,30,0,40.5,,,
2021,149,WCO,san_isabel,solar,30,0,40.5,,,
2021,150,WCO,san_isabel,solar,30,0,40.5,,,
2021,151,WCO,san_isabel,solar,30,0,49.5,,,
2021,152,WCO,san_isabel,solar,30,7.875,49.5,,,
2021,153,WCO,san_isabel,solar,30,9.45,49.5,,,
2021,154,WCO,san_isabel,solar,30,12.6,49.5,,,
2021,155,WCO,san_isabel,solar,30,14.175,49.5,,,
2021,156,WCO,san_isabel,solar,30,15.75,49.5,,,
2021,157,WCO,san_isabel,solar,30,14.301,63,,,
2021,158,WCO,san_isabel,solar,30,15.75,63,,,
2021,159,WCO,san_isabel,solar,30,14.175,63,,,
2021,160,WCO,san_isabel,solar,30,12.6,63,,,
2021,161,WCO,san_isabel,solar,30,9.45,63,,,
2021,162,WCO,san_isabel,solar,30,9.45,63,,,
2021,163,WCO,san_isabel,solar,30,7.875,27,,,
2021,164,WCO,san_isabel,solar,30,7.875,27,,,
